Place,CarNum,Team,D1R1_Right,D1R1_Left,D1R1_Cones,D1R1_AdjTime,D1R2_Right,D1R2_Left,D1R2_Cones,D1R2_AdjTime,D2R1_Right,D2R1_Left,D2R1_Cones,D2R1_AdjTime,D2R2_Right,D2R2_Left,D2R2_Cones,D2R2_AdjTime,BestTime,Penalty,Score
73,64,Grand Valley State Univ,6.957,5.843,,,6.147,5.870,,6.008,,,,DNA,,,,DNA,6.008,,18.38
74,75,Mississippi State Univ,6.330,5.784,,6.057,5.683,,,,5.820,5.750,3,6.160,6.034,6.023,8,7.028,6.057,,16.1
75,115,Univ of Illinois - Chicago,,,,,6.877,5.907,4,6.892,7.113,6.507,1,6.935,6.373,6.000,1,6.311,6.311,,5.08
76,100,Univ of Arizona,,,,,6.054,6.150,,,7.456,6.974,,7.215,6.553,6.966,1,6.884,6.884,,3.5
76,116,North Dakota State Univ,6.667,6.753,3,7.085,6.733,7.157,,6.945,,,,DNA,,,,DNA,6.945,,3.5
76,57,Florida International Univ,,,,,,,,,,,,,6.984,7.053,,7.018,7.018,,3.5
,25,Instituto Tecnologico de Chihuahua,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,26,Univ of Texas - Dallas,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,27,Kettering Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,33,Lakehead Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,37,Old Dominion Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,39,Univ of Central Florida,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,40,Montana State Univ - Bozeman,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,41,Pellissippi State Community College,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,42,Universidad Metropolitana,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,46,Univ of Oklahoma,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,47,Oregon Inst of Tech,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,49,Arizona State Univ - Tempe,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,53,Univ of Houston - Houston,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,55,Carleton Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,62,York College of Pennsylvania,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,63,Drexel Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,67,California State Univ - Fullerton,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,72,Northern Arizona Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,78,Missouri State University,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,83,Penn State Univ - Harrisburg,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,87,Univ of Ottawa,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,91,Univ of the Pacific,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,95,Purdue Univ - Northwest,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,105,Northern Illinois Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,109,UP Aguascalientes,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,111,Universidad Panamericana Sede Guadalajar,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,112,Universidad Autonoma Estado Mexico,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,113,Grand Canyon University,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,114,Southern Illinois Univ - Edwardville,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,121,Univ of Colorado - Colorado Springs,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,122,Trinity Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,123,Univ of Massachusetts - Lowell,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,126,ITESM - Campus Cuernavaca,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,127,Univ of Minnesota-Duluth,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,129,California State Univ - Chico,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,130,Vanderbilt Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,133,New York University,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,134,Instituto Tecnologico de Estudios Superi,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,135,Alabama A & M Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,136,Syracuse Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,141,St Cloud State Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,142,Univ of Maine,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,144,Calvin College,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
