Place,CarNum,Team,Penalty,CostScore,PresentationScore,DesignScore,AccelerationScore,SkidPadScore,AutocrossScore,EnduranceScore,EfficiencyScore,TotalScore
58,119,Univ of New Hampshire,,67.0,40.8,80,58.6,31.8,58.6,10,,346.9
59,142,Duke Univ,,51.6,59.6,70,60.5,25.4,70.1,8,,345.2
60,23,Embry-Riddle Aero Univ - Daytona Beach,,47.2,35.6,80,77.2,37.5,61.0,6,,344.4
61,126,Univ of Puerto Rico-Mayaquez,,29.9,35.1,60,,39.5,43.7,39,78.2,325.8
62,37,Michigan Tech Univ,,57.0,37.8,60,48.7,29.8,63.3,25,,321.6
63,111,Oakland University,,69.8,41.3,60,64.1,9.6,63.7,10,,318.5
64,42,Univ of Maryland - College Park,,40.9,57.6,80,23.8,11.1,44.5,10,44.4,312.2
65,29,California State Univ - Chico,,97.1,35.5,60,,30.1,71.8,14,,308.6
66,78,Univ of Texas - Dallas,,54.8,54.7,70,33.8,27.8,61.5,,,302.5
67,63,Universidad Metropolitana,,89.4,35.9,60,34.5,27.0,51.8,2,,300.7
68,16,Grand Valley State Univ,,48.1,27.8,40,69.0,36.1,61.7,10,,292.7
69,106,Old Dominion Univ,,29.3,15.0,60,53.8,44.0,73.7,10,,285.8
70,113,Univ of Oklahoma,,20.1,41.7,50,86.3,30.0,37.5,10,,275.6
71,107,Florida Atlantic Univ,,52.2,42.6,45,48.5,3.5,40.8,25,,257.6
72,76,Oregon Inst of Tech,,40.4,50.6,75,4.5,3.5,14.5,61.2,,249.7
73,48,Colorado Mesa University,,47.6,25.0,50,28.8,35.8,62.3,,,249.5
74,105,Rose Hulman Inst of Tech,,39.4,44.9,70,,41.9,51.1,,,247.3
75,49,Univ of North Florida,,62.9,34.7,70,4.5,26.5,40.3,8,,246.8
76,91,Tennessee Tech Univ,,64.5,37.8,55,50.6,3.5,30.4,,,241.8
77,98,Univ of Nebraska - Lincoln,,82.2,48.4,110,,,,,,240.6
78,66,South Dakota State Univ,,6.2,30.1,60,,,,31,100.0,227.1
79,60,Univ of Hartford,,51.1,29.0,50,32.9,3.5,32.5,25,,223.9
80,108,Brown Univ,,59.3,36.4,80,4.5,3.5,6.5,25,,215.2
81,46,Washington Univ - St Louis,,71.5,41.1,100,,,,,,212.5
82,15,Lehigh Univ,,75.6,67.5,60,4.5,,,,,207.5
83,102,Univ of North Texas,,34.0,22.8,55,56.7,3.5,17.8,,,189.8
84,38,Univ of Michigan - Dearborn,,59.0,64.6,60,,,,,,183.6
85,26,California State Univ - Los Angeles,,36.1,36.5,60,4.5,3.5,15.0,25,,180.6
86,30,Missouri State University,,41.1,40.6,50,27.0,4.7,12.7,4,,180.2
87,31,York College of Pennsylvania,-20,35.2,18.8,80,45.2,3.5,6.5,8,,177.1
88,64,Univ of Saskatchewan,,60.9,51.3,55,,,6.5,,,173.6
89,39,Univ of Central Florida,,53.6,35.2,80,,,,,,168.8
90,24,Colorado State University,,62.1,30.6,50,,,,25,,167.7
91,90,Sacramento State Univ,,34.4,22.1,60,,,,43,5.2,164.5
92,65,Lakehead Univ,,56.6,60.0,30,,,,16,,162.6
93,25,Kettering Univ,,64.8,33.9,60,,,,,,158.6
94,136,Texas Tech Univ,,47.6,46.1,40,4.5,3.5,6.5,10,,158.2
95,52,Univ of Manitoba,,47.7,49.6,60,,,,,,157.3
96,69,Universite de Sherbrooke,,69.5,35.1,50,,,,,,154.6
97,128,Universidad Autonoma Estado Mexico,,85.6,53.8,10,,,,,,149.4
98,41,Univ of British Columbia,,19.5,41.7,80,,,,,,141.2
99,47,Liberty Univ,,48.4,32.4,60,,,,,,140.7
100,132,Univ of Massachusetts - Lowell,,44.2,45.7,40,,,,,,129.9
101,79,Universidad Panamericana Sede Guadalajar,,65.6,22.3,40,,,,,,127.9
102,93,Wichita State Univ,,31.9,19.4,60,,3.5,6.5,,,121.3
103,120,Univ of Toledo,,50.1,,60,,,,,,110.1
104,68,Univ of Alberta,-10,36.0,33.8,50,,,,,,109.8
105,118,Univ of Georgia,,57.0,39.6,10,,,,,,106.6
106,12,Purdue Univ - Northwest,,34.6,29.8,35,,,,,,99.5
107,109,Univ of Minnesota - Duluth,,52.0,30.1,15,,,,,,97.0
108,59,Bradley Univ,,46.1,34.3,10,,,,,,90.4
109,123,West Virginia Univ,,33.4,23.6,20,,,,,,77.0
110,40,Univ of Calif - Irvine,,,36.8,40,,,,,,76.8
111,67,UP Aguascalientes,-20,31.5,38.6,10,,,,,,60.1
112,116,Washington State Univ,,29.3,,25,,,,,,54.3
113,104,Polytechnic Univ of Puerto Rico,-10,,19.2,20,,,,,,29.2
114,100,Alabama A & M Univ,,,15.0,10,,,,,,25.0
,62,Saint Louis University,,,31.8,,,,,,,
,70,Queen's Univ,,,41.9,,,,,,,
,75,Florida International Univ,,,52.7,,,,,,,
,84,Univ of Arizona,,,50.6,,,,,,,
,129,Instituto Tecnologico de Chihuahua,,,20.1,,,,,,,
,147,Univ of Alabama - Tuscaloosa,,,,,,,,,,withdrawn
,151,Syracuse Univ,,,,,,,,,,withdrawn
