Place,CarNum,Team,AdjustedCost,PriceScore,CostAccuracy,EngineeringDesign,Penalty,Score
97,12,Purdue Univ - Northwest,"$15,427",20,17,7.6,-10,34.63
98,90,Sacramento State Univ,"$15,665",19.6,11,3.8,,34.43
99,102,Univ of North Texas,"$14,747",21.1,10,2.9,,34
100,137,Iowa State Univ,"$27,526",0.1,12,21.4,,33.49
101,123,West Virginia Univ,"$24,294",5.4,17,11,,33.44
102,93,Wichita State Univ,"$25,549",3.4,6,22.5,,31.87
103,67,UP Aguascalientes,"$74,149",,4.5,27,,31.5
104,126,Univ of Puerto Rico-Mayaquez,"$110,979",,9,20.9,,29.9
105,116,Washington State Univ,"$17,376",16.8,7,5.5,,29.32
106,106,Old Dominion Univ,"$21,134",10.6,5,13.7,,29.28
107,20,Clarkson University,"$22,971",7.6,16,5.5,,29.11
108,113,Univ of Oklahoma,"$26,314",2.1,,18,,20.11
109,41,Univ of British Columbia,"$23,853",6.2,24,39.4,-50,19.53
110,66,South Dakota State Univ,"$15,600",19.7,5,11.5,-30,6.24
111,27,California State Univ - Fullerton,"$24,973",4.3,15,9.5,-50,5
,40,Univ of Calif - Irvine,,,,,,
,62,Saint Louis University,,,,,,
,70,Queen's Univ,,,,,,
,75,Florida International Univ,,,,,,
,84,Univ of Arizona,,,,,,
,100,Alabama A & M Univ,,,,,,
,104,Polytechnic Univ of Puerto Rico,,,,,,
,129,Instituto Tecnologico de Chihuahua,,,,,,
,147,Univ of Alabama - Tuscaloosa,,,,,,
,151,Syracuse Univ,,,,,,
