Place,CarNum,Team,Penalty,CostScore,PresentationScore,DesignScore,AccelerationScore,SkidPadScore,AutocrossScore,EnduranceScore,EfficiencyScore,TotalScore
69,32,Grand Valley State Univ,-10,27.4,53.8,50,47.5,30.0,6.5,57.4,30.8,293.5
70,62,North Carolina State Univ - Raleigh,,59.2,25.7,80,37.4,25.9,35.5,25,,288.7
71,26,Univ of Toronto,,73.5,58.8,50,33.6,21.4,45.4,1,,283.7
72,126,Univ of Nebraska - Lincoln,,59.0,48.3,60,51.8,29.0,31.4,,,279.5
73,25,Lehigh Univ,-20,71.7,58.1,60,45.7,25.5,8.0,25,,274.1
74,51,Concordia University,,62.1,59.6,60,,,,58.9,28.8,269.4
75,50,Clarkson University,,63.2,32.0,60,51.8,27.5,29.6,5,,269.0
76,20,Ryerson Univ,,66.3,66.5,60,38.0,14.7,21.5,1,,268.0
77,112,Western Michigan Univ,,65.8,42.9,60,14.1,7.8,15.3,61.5,,267.3
78,22,Rose Hulman Inst of Tech,,61.4,40.2,80,,24.9,57.1,1,,264.6
79,119,Univ of Manitoba,,62.7,73.2,80,,,13.6,10,24.0,263.4
80,29,York College of Pennsylvania,,46.3,51.2,60,37.4,35.4,6.5,25,,261.8
81,70,St Cloud State Univ,,65.8,29.2,40,45.3,9.9,6.5,6,53.2,255.9
82,77,Univ of Michigan - Dearborn,,57.3,38.9,50,37.6,20.0,6.5,7,27.8,245.1
83,124,Temple Univ,,72.5,35.8,50,44.0,22.8,6.5,1,,232.6
84,74,Columbia Univ,,57.8,44.8,50,47.0,,25.9,6,,231.4
85,108,Northwestern Univ,,60.7,69.0,60,25.3,3.5,6.5,,,225.0
86,103,Universite Du Quebec-Chicoutimi,,80.7,30.3,60,4.5,29.1,12.0,4,,220.6
87,43,US Air Force Academy,,62.2,60.9,50,14.2,14.3,17.4,,,219.0
88,24,Tennessee Tech Univ,,80.6,50.1,50,4.5,,6.5,25,,216.7
89,27,Univ of Florida,,62.4,68.4,80,,3.5,,2,,216.3
90,11,Colorado Mesa University,-10,72.3,38.1,50,21.5,10.9,6.5,12,11.4,212.8
91,89,Cooper Union,,66.2,55.2,80,4.5,,6.5,,,212.4
92,45,Univ of Maryland - College Park,,55.9,63.0,60,4.5,3.5,6.5,7,,200.5
93,63,Univ of Hartford,,61.9,26.5,50,29.6,20.0,9.4,,,197.4
94,106,Mississippi State Univ,,66.4,63.4,50,4.5,3.5,6.5,3,,197.3
95,94,Ferris State University,,57.4,34.2,40,28.8,20.0,6.5,3,,190.0
96,56,South Dakota School of Mines & Tech,,63.8,65.8,60,,,,,,189.6
97,87,Washington State Univ,,50.3,39.7,60,4.5,20.8,6.5,6,,187.8
98,15,Univ of Evansville,,53.9,34.1,50,6.6,29.0,6.5,7,,187.0
99,85,Texas Tech Univ,,61.7,32.9,50,4.5,3.5,6.5,25,,184.1
100,35,Univ of Pittsburgh - Pittsburgh,,62.0,41.3,80,,,,,,183.3
101,128,South Dakota State Univ,,70.2,28.2,50,23.3,3.5,6.5,,,181.7
102,19,Kettering Univ,,69.8,51.2,60,,,,,,181.0
103,105,Oakland University,,62.9,39.6,50,,,,25,,177.6
104,127,Univ of Kansas - Lawrence,-10,56.3,48.9,80,,,,,,175.3
105,110,Universidad Autonoma Estado Mexico,,82.7,35.7,50,,,,,,168.3
106,81,Lakehead Univ,,59.2,35.1,50,,12.3,,,,156.6
107,96,Bradley Univ,,66.1,32.2,50,,,,,,148.3
108,17,Purdue Univ - Northwest,-10,65.4,41.3,50,,,,,,146.7
109,134,California State Univ - Fullerton,,58.3,37.7,50,,,,,,146.0
110,83,Univ of New Hampshire,,47.9,35.3,60,,,,,,143.3
111,132,Universidad Nacional Autónoma de México,,53.9,44.8,40,,,,,,138.7
112,97,Dalhousie Univ,-10,51.4,40.7,50,,,,,,132.1
113,68,Florida Inst of Tech,,47.6,23.6,60,,,,,,131.2
114,118,Alabama A & M Univ,-30,-40.4,34.6,50,43.6,8.7,22.3,,,88.7
,23,Old Dominion Univ,,,,,,,,,,withdrawn
,44,Clemson Univ,,,,,,,,,,withdrawn
,93,Kansas State Univ,,,,,,,,,,withdrawn
,123,Univ of Minnesota-Duluth,,,,,,,,,,withdrawn
