,Place,CarNum,Team,DPoecnualt ym ent,RawScore,LatePenalty,Status,Score
7,33 T,100,Kettering Univ,,80,,,80
8,33 T,102,Missouri University of Science and Tech,,80,,,80
9,33 T,110,Michigan Tech Univ,,80,,,80
10,52 T,47,Univ of Kentucky,5,80,,,75
11,52 T,65,Hope College,5,80,,,75
12,52 T,93,South Dakota State Univ,5,80,,,75
13,52 T,94,Univ of Colorado - Boulder,5,80,,,75
14,52 T,111,Florida International Univ,5,80,,,75
15,57 T,42,Univ of Oklahoma,10,80,,,70
16,57 T,99,Univ of North Florida,,80,10,,70
17,59,122,South Dakota School of Mines & Tech,5,80,10,,65
18,60 T,19,Purdue Univ - Northwest,,60,,,60
19,60 T,21,Oklahoma State Univ,,60,,,60
20,60 T,22,Sacramento State Univ,,60,,,60
21,60 T,26,Univ of Wisconsin - Platteville,,60,,,60
22,60 T,33,Rose Hulman Inst of Tech,,60,,,60
23,60 T,44,Univ of Texas - Dallas,,60,,,60
24,60 T,55,Univ of Missouri,,60,,,60
25,60 T,60,Univ of Illinois - Chicago,,60,,,60
26,60 T,61,Wayne State Univ,,60,,,60
27,60 T,64,West Virginia Univ,,60,,,60
28,60 T,77,Vanderbilt Univ,,60,,,60
29,60 T,83,Univ of South Florida,,60,,,60
30,60 T,87,Univ of Georgia,,60,,,60
31,60 T,89,Southern Illinois Univ - Carbondale,,60,,,60
32,60 T,92,Clarkson University,,60,,,60
33,60 T,114,Lehigh Univ,,60,,,60
34,60 T,118,Univ of Manitoba,,60,,,60
35,60 T,120,Oregon Inst of Tech,,60,,,60
36,60 T,131,Univ of Ottawa,,60,,,60
37,79 T,17,Florida Atlantic Univ,5,60,,,55
38,79 T,62,Washington State Univ,5,60,,,55
39,81 T,34,Colorado Mesa University,10,60,,,50
40,81 T,116,Saginaw Valley State Univ,10,60,,,50
41,81 T,121,Univ of Saskatchewan,10,60,,,50
42,84,36,Colorado State University,15,60,,,45
1,85 T,15,Tennessee Tech Univ,,40,,,40
2,85 T,58,Syracuse Univ,,40,,,40
3,85 T,74,Drexel Univ,,40,,,40
4,85 T,106,Embry-Riddle Aero Univ - Daytona Beach,,80,40,,40
5,85 T,108,Lawrence Technological Univ,,40,,,40
6,85 T,119,California Baptist University,,60,20,,40
7,85 T,128,St Cloud State Univ,,40,,,40
8,92,95,Univ of Toledo,5,40,,,35
9,93 T,52,California State Univ - Chico,,40,10,,30
10,93 T,69,Bradley Univ,,40,10,,30
11,95 T,43,Universidad Panamericana Sede Guadalajar,,20,,,20
12,95 T,103,Penn State Univ - Harrisburg,,40,20,,20
13,95 T,117,Pellissippi State Community College,,20,,,20
14,95 T,133,Universidad Autonoma Estado Mexico,,20,,,20
15,95 T,136,Univ of Minnesota-Duluth,,20,,,20
16,100 T,79,Univ of Texas - San Antonio,5,20,,,15
17,100 T,113,US Air Force Academy,5,20,,,15
18,100 T,125,Northern Arizona Univ,5,40,20,,15
19,103 T,54,Instituto Tecnologico de Chihuahua,,20,10,,10
20,103 T,72,Univ of Delaware,10,20,,,10
21,103 T,130,Northern Illinois Univ,,20,10,,10
22,103 T,138,Universidad Autonoma de Baja California,,20,10,,10
23,,37,Univ of Arizona,,,,,
24,,41,Univ of Houston - Houston,,,,,
25,,50,Missouri State University,,,,,
26,,51,ITESM - Campus Cuernavaca,,,,,
27,,56,Iowa State Univ,,,,,
28,,59,Univ of Calif - Irvine,,,,,
29,,78,Univ of the Pacific,,,,,
30,,82,Western Michigan Univ,,,,,
31,,88,UP Aguascalientes,,,,,
32,,97,Univ of Massachusetts - Lowell,,,,,
33,,124,Alabama A & M Univ,,,,,
34,,140,North Dakota State Univ,,,,,
35,,142,Lamar Univ,,,,,
